decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
0.5,0.9988149044449981,0.996606500843789,0.9972833568898107,0.9969448139822927,0.9994532648881743,0.99830841707991
0.6,0.9988149044449981,0.9973180498916199,0.9965674847188825,0.9969426260363397,0.9994532648881743,0.99830841707991
0.55,0.9987971102174454,0.9972081917531453,0.996585840415573,0.9968969189526642,0.9994532648881743,0.99830841707991
0.35,0.9987757571443824,0.9955693073838774,0.9981277189375722,0.9968468716200114,0.9994532648881743,0.99830841707991
0.3,0.9987721982988719,0.9954785091894267,0.9982011417243342,0.996837966399956,0.9994532648881743,0.99830841707991
0.4,0.9987686394533614,0.9956780514604889,0.9979808733640485,0.9968281324483884,0.9994532648881743,0.99830841707991
0.45,0.9987650806078509,0.9960049846063627,0.9976321151269296,0.9968178858657276,0.9994532648881743,0.99830841707991
0.65,0.9987579629168298,0.9976098547527119,0.9959801024247875,0.9967943124305357,0.9994532648881743,0.99830841707991
0.7,0.9987330509982562,0.9977193724595832,0.9957414783678115,0.9967294441892512,0.9994532648881743,0.99830841707991
0.75,0.9987152567707036,0.9977191627119891,0.9956496998843591,0.9966833570673894,0.9994532648881743,0.99830841707991
