C,class_weight,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
10.0,,0.5,0.940827075696644,0.8605227064919232,0.8292002422951963,0.8445711614863286,0.9831896803870778,0.9369008424990715
3.0,,0.5,0.940812840314602,0.8605395518975766,0.8290901081150535,0.8445221423429656,0.9831251179064779,0.9364859623971896
1.0,,0.5,0.9399765116196306,0.8592797783933518,0.8256208814405551,0.8421141316558077,0.9825025316225805,0.9334762151284034
0.3,,0.5,0.9392611836720168,0.8584074187614961,0.8223719231263422,0.8400033748628962,0.9816489289635745,0.92970043616481
10.0,balanced,0.5,0.9229759066158938,0.7249041095890411,0.9713467574661796,0.8302230171243891,0.9824209885565083,0.9301502778218351
1.0,balanced,0.5,0.9225061390085056,0.7235712332512989,0.9714201802529415,0.8293749363339314,0.9817726009268709,0.9269779885840929
3.0,balanced,0.5,0.9224029324887006,0.7233577141294688,0.9711999118926559,0.8291543910236319,0.981844494227562,0.9273851261784348
0.3,balanced,0.5,0.9208655112281576,0.7192894160534298,0.9706492409919418,0.82627582111941,0.9807309375665846,0.9220315833497629
