experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,input_noise_std,input_dropout,global_pooling,gradient_clip_norm,conv_channels,kernel_size,fc_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
CNN-20e-tune,easy,Validation,0.9798522982436538,0.908954820091983,0.9893598225328334,0.9474545044367574,0.9973308820653974,0.9881273227293629,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.05206109170621995,True,True,13,0.9474545044367574
CNN-20e-tune,easy,Validation,0.976810319660048,0.8961845923763063,0.9881623117846836,0.9399286687953989,0.9968573424644546,0.9856932918096647,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.05822485263086464,True,True,14,0.9399286687953989
CNN-20e-tune,easy,Validation,0.9796360438419757,0.9068288388638365,0.9908910657845659,0.9469981238273921,0.997366181908935,0.9882536761979888,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,10,5,0.05317230631641088,True,True,15,0.9469981238273921
CNN-20e-tune,easy,Validation,0.9800216975249684,0.9108681485772211,0.9878482106048411,0.9477976700601791,0.9975379523082747,0.9889070507553493,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,13,8,0.04919766474468112,True,True,16,0.9477976700601791
CNN-20e-tune,easy,Validation,0.9804794360085204,0.9106572609017266,0.9908910657845659,0.9490814734031552,0.997459957594316,0.9882868334624644,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.04758592439189624,True,True,17,0.9490814734031552
CNN-20e-tune,easy,Validation,0.980295619767094,0.9114666280584914,0.9887119888494081,0.948519233485569,0.9971431401552143,0.9866937372307794,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,66,61,0.05045605216031825,True,True,18,0.948519233485569
CNN-20e-tune,easy,Validation,0.979600001441696,0.9065637065637066,0.9910284850507469,0.9469162665066027,0.9974799361530751,0.9886156173208375,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,21,16,0.047943299218260516,True,True,19,0.9469162665066027
CNN-20e-tune,easy,Validation,0.9804289766481289,0.9108571222216204,0.9903217573961012,0.9489287259457121,0.9977142729467144,0.9896584638911674,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,50,45,0.044324714452308414,True,True,20,0.9489287259457121
CNN-20e-tune,easy,Validation,0.9803965384878771,0.9095556995751423,0.9918530006478337,0.9489233427554538,0.9974751770442896,0.9884911297594695,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,34,29,0.04848891315711511,True,True,21,0.9489233427554538
CNN-20e-tune,easy,Validation,0.9803136409672338,0.9094887356156243,0.9914407428492903,0.9486982003982417,0.9972060722447995,0.9871294381277026,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,66,61,0.04914842157303314,True,True,22,0.9486982003982417
CNN-20e-tune,easy,Validation,0.9803604960875975,0.9087151841868824,0.9927560415398811,0.9488784020865193,0.9977222177948782,0.9897391977126554,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,28,23,0.04539065542027768,True,True,23,0.9488784020865193
CNN-20e-tune,easy,Validation,0.9797333583227309,0.9078113750899928,0.99016470680618,0.9472013821726025,0.9975392986077333,0.9889393810274318,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",5,[64],relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,28,23,0.04835686351805591,True,True,24,0.9472013821726025
CNN-20e-tune,easy,Validation,0.9802487646467304,0.9099467941202994,0.9904395453385422,0.9484884945104527,0.9975377925359654,0.9889327639894726,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,29,24,0.048968047337136056,True,True,25,0.9484884945104527
CNN-20e-tune,easy,Validation,0.9761147013346501,0.8933250488194567,0.9878678419285812,0.9382207347882426,0.9971255713112841,0.9870408862951373,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,27,22,0.057057160106848706,True,True,26,0.9382207347882426
CNN-20e-tune,easy,Validation,0.9805118741687722,0.9181544339137462,0.981330611123108,0.9486919142556199,0.9977917828403324,0.9901280643350611,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,20,15,0.04343026528279529,True,True,27,0.9486919142556199
CNN-20e-tune,easy,Validation,0.9816760436978061,0.9169773574611257,0.9898113429788571,0.9520033231373437,0.9978550321345023,0.9903361153021464,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.0,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,33,28,0.04313752523731315,True,True,28,0.9520033231373437
CNN-20e-tune,easy,Validation,0.980299224007122,0.9240539381166422,0.9726339347062173,0.9477217950189373,0.9974255308867318,0.9881576547846379,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,25,20,0.05060536856452821,True,True,29,0.9477217950189373
CNN-20e-tune,easy,Validation,0.9808290472912334,0.911777448821172,0.991519268144251,0.9499778996172402,0.9977322136393525,0.9896758034332424,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,51,46,0.045755215705050756,True,True,30,0.9499778996172402
CNN-20e-tune,easy,Validation,0.9805839589693315,0.9086847299479633,0.9941498655254324,0.9494979797316934,0.9977097126974699,0.9896427074724997,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[32, 64]",7,[64],relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,19,14,0.044294039742488335,True,True,31,0.9494979797316934
