threshold,accuracy,precision,recall,f1,roc_auc,average_precision,selected_metric
0.1,0.9721680585040241,0.8693950117100022,0.9983902314533069,0.9294382104609087,0.9978550321345023,0.9903361153021464,0.9294382104609087
0.15,0.9789980933570253,0.899235371163581,0.9973694026188186,0.9457635637629495,0.9978550321345023,0.9903361153021464,0.9457635637629495
0.2,0.9799676339245489,0.9042418627852702,0.9964074677555508,0.9480900345568319,0.9978550321345023,0.9903361153021464,0.9480900345568319
0.25,0.9803496833675135,0.9062137205522514,0.9960541039282279,0.9490124195720485,0.9978550321345023,0.9903361153021464,0.9490124195720485
0.3,0.9804542063283247,0.9068287450840186,0.9958577906908263,0.9492603785589311,0.9978550321345023,0.9903361153021464,0.9492603785589311
0.35,0.9806812734500867,0.9079533859620859,0.9957203714246452,0.9498136739012378,0.9978550321345023,0.9903361153021464,0.9498136739012378
0.4,0.981002050812576,0.9096225602755453,0.9954259015685427,0.9505919406090942,0.9978550321345023,0.9903361153021464,0.9505919406090942
0.45,0.981452580816072,0.9121262847165974,0.9948173305325978,0.9516789362980769,0.9978550321345023,0.9903361153021464,0.9516789362980769
0.5,0.9816760436978061,0.9169773574611257,0.9898113429788571,0.9520033231373437,0.9978550321345023,0.9903361153021464,0.9520033231373437
0.55,0.9812723688146736,0.9254133883897848,0.9767172500441704,0.9503734408129739,0.9978550321345023,0.9903361153021464,0.9503734408129739
0.6,0.980767775210758,0.9345377622777429,0.9626808535699563,0.9484005724674119,0.9978550321345023,0.9903361153021464,0.9484005724674119
0.65,0.9789584467167175,0.9388195917414233,0.9471132138440095,0.9429481666796966,0.9978550321345023,0.9903361153021464,0.9429481666796966
0.7,0.9776753372667606,0.9446133667203244,0.9331160800172755,0.9388295245807738,0.9978550321345023,0.9903361153021464,0.9388295245807738
0.75,0.977044595261866,0.9503293860889949,0.923221892852235,0.9365795369678864,0.9978550321345023,0.9903361153021464,0.9365795369678864
0.8,0.975552439890287,0.959040252827678,0.9055144388386109,0.9315090624526683,0.9978550321345023,0.9903361153021464,0.9315090624526683
0.85,0.969738800725173,0.9695384411628369,0.8622666326390388,0.912761580183288,0.9978550321345023,0.9903361153021464,0.912761580183288
0.9,0.9613877765803691,0.9861265529076232,0.8009580085985198,0.8839491729225569,0.9978550321345023,0.9903361153021464,0.8839491729225569
