threshold,accuracy,precision,recall,f1,roc_auc,average_precision,selected_metric
0.1,0.9791299465544689,0.9035960088253696,0.9996721132302312,0.9492091221212304,0.9992521744484019,0.9969696782927182,0.9492091221212304
0.15,0.9816600807368661,0.9149646242157256,0.9988159644425014,0.9550533420422382,0.9992521744484019,0.9969696782927182,0.9550533420422382
0.2,0.9834013247668865,0.923919648885888,0.9970125872087728,0.9590754969904588,0.9992521744484019,0.9969696782927182,0.9590754969904588
0.25,0.9852385148965204,0.9339901814885138,0.9946263001621218,0.9633550344924928,0.9992521744484019,0.9969696782927182,0.9633550344924928
0.3,0.9859741016602229,0.939451440400207,0.9920396378672787,0.9650296366519886,0.9992521744484019,0.9969696782927182,0.9650296366519886
0.35,0.9864147430065954,0.9424596299119828,0.9908556023097801,0.9660518767815439,0.9992521744484019,0.9969696782927182,0.9660518767815439
0.4,0.9866705992722311,0.944933537476512,0.9893254640508589,0.9666200955745597,0.9992521744484019,0.9969696782927182,0.9666200955745597
0.45,0.9872960256993405,0.9521443422490045,0.9843525147093648,0.9679805823503596,0.9992521744484019,0.9969696782927182,0.9679805823503596
0.5,0.9877899704343871,0.9577647707662474,0.9806546805836385,0.9690745774305618,0.9992521744484019,0.9969696782927182,0.9690745774305618
0.55,0.9885326643165795,0.9650262797897616,0.9766107437564894,0.970783953355726,0.9992521744484019,0.9969696782927182,0.970783953355726
0.6,0.9889306629520127,0.971019502255858,0.9722753520228792,0.9716470213443772,0.9992521744484019,0.9969696782927182,0.9716470213443772
0.65,0.9884580395724357,0.9755105047045609,0.9650618430879647,0.9702580444297932,0.9992521744484019,0.9969696782927182,0.9702580444297932
0.7,0.9864467250397999,0.9794634979632445,0.9504526659015975,0.9647400340211523,0.9992521744484019,0.9969696782927182,0.9647400340211523
0.75,0.9838881623834432,0.9846417367539791,0.9319452793413119,0.9575690649097851,0.9992521744484019,0.9969696782927182,0.9575690649097851
0.8,0.9816423129406413,0.9892183288409704,0.9158788276226387,0.9511369225530627,0.9992521744484019,0.9969696782927182,0.9511369225530627
0.85,0.9777511655674324,0.9935259974834598,0.8917609341129752,0.939896900288948,0.9992521744484019,0.9969696782927182,0.939896900288948
0.9,0.9721400955196725,0.9971264974962497,0.8596644625389366,0.9233071821258779,0.9992521744484019,0.9969696782927182,0.9233071821258779
