experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
MLP-04h-tune,hard,Validation,0.9857217989538322,0.9497392380447273,0.9785962803067563,0.9639518400889989,0.9988632777256086,0.995347612157495,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,41,36,0.03265086248557704,True,True,15,0.9639518400889989
MLP-04h-tune,hard,Validation,0.9797411587445986,0.9066860657363931,0.998961691895732,0.9505897851466013,0.9988541776006961,0.9952773713548181,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,53,48,0.05713342418328643,True,True,16,0.9505897851466013
MLP-04h-tune,hard,Validation,0.9852776040482147,0.9517731254005555,0.9738783540084157,0.9626988628690274,0.9989021924646877,0.9955532771919444,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,22,17,0.03276034688828261,True,True,17,0.9626988628690274
MLP-04h-tune,hard,Validation,0.9822748464862406,0.9185381480301226,0.997613712953349,0.9564442892071254,0.9991564198359852,0.9965170042135536,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.05188507197413332,True,True,18,0.9564442892071254
MLP-04h-tune,hard,Validation,0.9872853650216057,0.956485385422782,0.9793795653678707,0.9677970983187529,0.9991182846848353,0.9963889293307828,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,47,42,0.02953583327259073,True,True,19,0.9677970983187529
MLP-04h-tune,hard,Validation,0.9829358085057994,0.921412588118512,0.997613712953349,0.9580002448965312,0.9992056716745732,0.9966877181725512,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,54,49,0.04961765151617471,True,True,20,0.9580002448965312
MLP-04h-tune,hard,Validation,0.985377103707073,0.9511549395877754,0.9751170373608758,0.9629869487393975,0.9989156342043661,0.9955735415156893,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,19,14,0.031989987107611854,True,True,21,0.9629869487393975
MLP-04h-tune,hard,Validation,0.9823352569934046,0.9197860962566845,0.9963385977375813,0.9565331444610582,0.9991260670938397,0.9964225064983419,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.05139029887669028,True,True,22,0.9565331444610582
MLP-04h-tune,hard,Validation,0.9877899704343871,0.9577647707662474,0.9806546805836385,0.9690745774305618,0.9992521744484019,0.9969696782927182,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,48,43,0.027079054598194756,True,True,23,0.9690745774305618
MLP-04h-tune,hard,Validation,0.9814681885376393,0.9148740730843744,0.9978505200648488,0.9545624842079583,0.9990735439856011,0.9961567268432809,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,34,29,0.05279241769587503,True,True,24,0.9545624842079583
MLP-04h-tune,hard,Validation,0.9858781555606095,0.9502396067266715,0.9788695192815636,0.9643421147082047,0.9989236004124433,0.9955823754962654,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,22,17,0.032813574679065406,True,True,25,0.9643421147082047
MLP-04h-tune,hard,Validation,0.9828363088469411,0.9223566330920686,0.995846767582928,0.9576939247424847,0.9990596559973752,0.9961117193749152,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,35,30,0.05426196738643784,True,True,26,0.9576939247424847
MLP-04h-tune,hard,Validation,0.9872711507846259,0.9569375434097345,0.9787966555549483,0.9677436784093365,0.9991223954148327,0.9964130442246634,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,57,52,0.0299372353525576,True,True,27,0.9677436784093365
MLP-04h-tune,hard,Validation,0.9836145383215829,0.9260370069133794,0.9955188808131592,0.9595217402754734,0.9992004015749263,0.9966917571541556,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,56,51,0.05053029827517706,True,True,28,0.9595217402754734
MLP-04h-tune,hard,Validation,0.9841653400045486,0.9565705389308279,0.9625298285880831,0.9595409312123193,0.9988438106655032,0.995226007253884,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,22,17,0.03302040690382909,True,True,29,0.9595409312123193
MLP-04h-tune,hard,Validation,0.981013332954287,0.9142202755115688,0.9961382224893892,0.9534228901693792,0.9989639119601404,0.9956745094663185,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,31,26,0.055231391499062574,True,True,30,0.9534228901693792
MLP-04h-tune,hard,Validation,0.9866812599499659,0.9577091722595078,0.9747709346594532,0.9661647347705197,0.9990485755791921,0.9961493422907947,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,36,31,0.03012254562297544,True,True,31,0.9661647347705197
MLP-04h-tune,hard,Validation,0.9816352058221515,0.915870812356788,0.9974862014317722,0.9549378302495509,0.9990294254126534,0.9959519807372774,0.5,True,standard,True,select_k_best,40,False,True,auto,4.126135574078074,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,40,35,0.0532980631110897,True,True,32,0.9549378302495509
