epoch,train_loss,val_loss,best_val_loss,best_epoch,epochs_without_improvement,improved,learning_rate
1,0.12047695883308077,0.06030212284957709,0.06030212284957709,1,0,True,0.0005
2,0.058867159541468164,0.04856589324018319,0.04856589324018319,2,0,True,0.0005
3,0.051479067919812334,0.045608569007754084,0.045608569007754084,3,0,True,0.0005
4,0.04805952082353457,0.04297997985583342,0.04297997985583342,4,0,True,0.0005
5,0.04592705179573387,0.0415664409673401,0.0415664409673401,5,0,True,0.0005
6,0.04437471614236344,0.04155085302172587,0.0415664409673401,5,1,False,0.0005
7,0.04344217556811451,0.038986978589410755,0.038986978589410755,7,0,True,0.0005
8,0.04240345817352543,0.03853907086563457,0.03853907086563457,8,0,True,0.0005
9,0.041819826212784766,0.038902697251456855,0.03853907086563457,8,1,False,0.0005
10,0.041750471875225965,0.03917672640834854,0.03853907086563457,8,2,False,0.0005
11,0.041010627569602,0.037950636153502276,0.037950636153502276,11,0,True,0.0005
12,0.04035056017053833,0.037420505464199,0.037420505464199,12,0,True,0.0005
13,0.039623427900942206,0.036929171765382005,0.036929171765382005,13,0,True,0.0005
14,0.03915595833746258,0.034858783028811416,0.034858783028811416,14,0,True,0.0005
15,0.03913174198566463,0.03395348254820827,0.03395348254820827,15,0,True,0.0005
16,0.038635159031836244,0.03507606879432472,0.03395348254820827,15,1,False,0.0005
17,0.03786893955736974,0.033226047683831694,0.033226047683831694,17,0,True,0.0005
18,0.03740362793731486,0.03630795488496219,0.033226047683831694,17,1,False,0.0005
19,0.03726930264483407,0.03266621447298129,0.03266621447298129,19,0,True,0.0005
20,0.0365765527877904,0.03371047875777222,0.03266621447298129,19,1,False,0.0005
21,0.03564805586299254,0.03353290112165123,0.03266621447298129,19,2,False,0.0005
22,0.03499353713114466,0.03128164172280992,0.03128164172280992,22,0,True,0.0005
23,0.03534062997735423,0.03180978129147019,0.03128164172280992,22,1,False,0.0005
24,0.03444032509918005,0.031185645950682357,0.03128164172280992,22,2,False,0.0005
25,0.03380889164993672,0.030958392341109277,0.030958392341109277,25,0,True,0.0005
26,0.033827323205712176,0.030533031867814926,0.030533031867814926,26,0,True,0.0005
27,0.03400415856530501,0.030346501348355915,0.030346501348355915,27,0,True,0.0005
28,0.033384788187977216,0.029974278310821736,0.029974278310821736,28,0,True,0.0005
29,0.032227207761576324,0.029131147225953134,0.029131147225953134,29,0,True,0.0005
30,0.03249307515975262,0.029633354729438385,0.029131147225953134,29,1,False,0.0005
31,0.03228178229775418,0.02924255381236842,0.029131147225953134,29,2,False,0.0005
32,0.03215410920662034,0.029975625390874436,0.029131147225953134,29,3,False,0.0005
33,0.03179699361894136,0.028970779438052145,0.028970779438052145,33,0,True,0.0005
34,0.03163273125710692,0.02886637861122184,0.02886637861122184,34,0,True,0.0005
35,0.03145720751807779,0.028129826000136953,0.028129826000136953,35,0,True,0.0005
36,0.031946251212600696,0.028810760692992154,0.028129826000136953,35,1,False,0.0005
37,0.03147604533092726,0.029999571014259225,0.028129826000136953,35,2,False,0.0005
38,0.030948544388362868,0.027628623672661685,0.027628623672661685,38,0,True,0.0005
39,0.031065477280690503,0.02784344971803527,0.027628623672661685,38,1,False,0.0005
40,0.03158278931331089,0.027817207423104652,0.027628623672661685,38,2,False,0.0005
41,0.03181503314585769,0.028324598621442314,0.027628623672661685,38,3,False,0.0005
42,0.030915915602207213,0.02772805087898695,0.027628623672661685,38,4,False,0.0005
43,0.030513510737005214,0.027079054598194756,0.027079054598194756,43,0,True,0.0005
44,0.030788502920290804,0.027000727711894823,0.027079054598194756,43,1,False,0.0005
45,0.030786928224081012,0.027208100748497274,0.027079054598194756,43,2,False,0.0005
46,0.03046025410678209,0.027874521544291698,0.027079054598194756,43,3,False,0.0005
47,0.030859938305480242,0.02750714531954999,0.027079054598194756,43,4,False,0.0005
48,0.030318247507409787,0.02752654391730851,0.027079054598194756,43,5,False,0.0005
