C,loss,penalty,dual,tol,class_weight,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
10.0,squared_hinge,l2,False,0.0001,,0.0,0.9362041353784832,0.85324416784244,0.8103305860973953,0.8312338774972227,0.9818415686012578,0.929974733732288
1.0,squared_hinge,l2,False,0.0001,,0.0,0.9361365173137834,0.853231233321731,0.809926760770205,0.831015226992363,0.981681992815495,0.9293618344906078
10.0,squared_hinge,l2,False,0.001,,0.0,0.9354140716751486,0.8509902424886484,0.8084399493382771,0.829169569064518,0.9811106293636974,0.9265060099921438
1.0,squared_hinge,l2,False,0.001,,0.0,0.93528595323677,0.850412249705536,0.8084215936415866,0.8288854594045244,0.9810200070303864,0.9260520902579351
10.0,squared_hinge,l2,False,0.0001,balanced,0.0,0.9180682586568917,0.710902825267844,0.973163971438536,0.8216123233325068,0.9806069449817115,0.922741928456539
1.0,squared_hinge,l2,False,0.0001,balanced,0.0,0.9180077582832129,0.7107408102528353,0.973163971438536,0.8215041100772431,0.9805686108290553,0.9225411051886319
10.0,squared_hinge,l2,False,0.001,balanced,0.0,0.917801345243603,0.7101323119777159,0.9733475284054406,0.8211628249103762,0.9801491269485934,0.920545542411628
1.0,squared_hinge,l2,False,0.001,balanced,0.0,0.9177657567884978,0.7100372244985405,0.9733475284054406,0.8210992482250834,0.979967926852139,0.9195640219488429
