C,class_weight,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
10.0,,0.5,0.9381787298157835,0.8583441632902683,0.818113922436563,0.8377463370048778,0.9817186358360241,0.9330992313733002
3.0,,0.5,0.9379299806686378,0.8572246611948845,0.8180774905732554,0.8371936954151016,0.9810630605710934,0.9302183579052915
1.0,,0.5,0.937091340686832,0.8555967723431106,0.8150900777820281,0.8348523718457017,0.9803447429131787,0.9270633276820474
0.3,,0.5,0.9368603593359108,0.8560715039223584,0.813031677505146,0.8339966739540706,0.98004120294626,0.9259040064811651
3.0,balanced,0.5,0.9204713440982488,0.7210086318221981,0.9661912308505018,0.8257850570596752,0.9799627176057789,0.921383316866004
10.0,balanced,0.5,0.920457129861269,0.7209934612090646,0.9661183671238865,0.8257484936710832,0.9799402040086894,0.921267205180054
1.0,balanced,0.5,0.9202758983397771,0.7204580028251657,0.9662276627138094,0.8254370881023335,0.9796959178712534,0.9201816978214493
0.3,balanced,0.5,0.9197784000454856,0.719126260982753,0.9661183671238865,0.8245225380686986,0.9793500304934001,0.9187873043511197
