threshold,accuracy,precision,recall,f1,roc_auc,average_precision,selected_metric
0.1,0.9812399306544218,0.9076840791584952,0.9994699542590156,0.9513683207355016,0.9992198779645529,0.9965100695742917,0.9513683207355016
0.15,0.9825446655445466,0.9141748131109834,0.9986847013094093,0.9545629391952114,0.9992198779645529,0.9965100695742917,0.9545629391952114
0.2,0.9843612025186429,0.9236671757946032,0.9972319833526375,0.9590409213196771,0.9992198779645529,0.9965100695742917,0.9590409213196771
0.25,0.9856082695683202,0.9310452475392977,0.995327744949842,0.9621139522747758,0.9992198779645529,0.9965100695742917,0.9621139522747758
0.3,0.9865633931757319,0.9370822300812858,0.9935216631657473,0.9644769691079221,0.9992198779645529,0.9965100695742917,0.9644769691079221
0.35,0.9871616970203748,0.9416776984319356,0.9914800054967706,0.9659373446046743,0.9992198779645529,0.9965100695742917,0.9659373446046743
0.4,0.9878933577460525,0.949529496239749,0.9864936492667701,0.9676586976824795,0.9992198779645529,0.9965100695742917,0.9676586976824795
0.45,0.9883150538293248,0.955219607169444,0.9824103339288168,0.9686241870548157,0.9992198779645529,0.9965100695742917,0.9686241870548157
0.5,0.988531308231003,0.9602197166811217,0.9780521800585014,0.9690539173733759,0.9992198779645529,0.9965100695742917,0.9690539173733759
0.55,0.9888412728734083,0.966187905598971,0.9732817683896425,0.9697218636310292,0.9992198779645529,0.9965100695742917,0.9697218636310292
0.6,0.9884303895102198,0.9708580786456997,0.9659789159583031,0.9684123516561375,0.9992198779645529,0.9965100695742917,0.9684123516561375
0.65,0.9871616970203748,0.9754912784279091,0.9540430711242859,0.9646479683995316,0.9992198779645529,0.9965100695742917,0.9646479683995316
0.7,0.9854893296473972,0.9799676699883366,0.9401833565637331,0.959663360384731,0.9992198779645529,0.9965100695742917,0.959663360384731
0.75,0.9823644535431482,0.9843276674520364,0.9185692691258172,0.9503122619954303,0.9992198779645529,0.9965100695742917,0.9503122619954303
0.8,0.9780393655095855,0.9906779290122106,0.8887492883645144,0.9369496155716754,0.9992198779645529,0.9965100695742917,0.9369496155716754
0.85,0.9737935707566381,0.995304205798285,0.8613243290995112,0.9234800728260069,0.9992198779645529,0.9965100695742917,0.9234800728260069
0.9,0.9693279173619846,0.9971876538001828,0.8352931938200593,0.9090889667549782,0.9992198779645529,0.9965100695742917,0.9090889667549782
