epoch,train_loss,val_loss,best_val_loss,best_epoch,epochs_without_improvement,improved,learning_rate
1,0.11062977612257353,0.05924519408052236,0.05924519408052236,1,0,True,0.0005
2,0.05789785195120285,0.05055304162823538,0.05055304162823538,2,0,True,0.0005
3,0.05095518226967217,0.04581769209602747,0.04581769209602747,3,0,True,0.0005
4,0.046705005305387244,0.04292005172605685,0.04292005172605685,4,0,True,0.0005
5,0.04420912393388652,0.040604809163614405,0.040604809163614405,5,0,True,0.0005
6,0.042673566453208134,0.039130420727373244,0.039130420727373244,6,0,True,0.0005
7,0.041223778079957245,0.03779398795974697,0.03779398795974697,7,0,True,0.0005
8,0.040155634633869945,0.03769981532883304,0.03779398795974697,7,1,False,0.0005
9,0.03937504793121781,0.0375319957952898,0.0375319957952898,9,0,True,0.0005
10,0.03824251524374955,0.03554030397465217,0.03554030397465217,10,0,True,0.0005
11,0.037639958134199535,0.035973270671076384,0.03554030397465217,10,1,False,0.0005
12,0.03715513774998591,0.035403268202760074,0.035403268202760074,12,0,True,0.0005
13,0.03631481300031738,0.03520973946802543,0.03520973946802543,13,0,True,0.0005
14,0.03596363101024408,0.033066311792622954,0.033066311792622954,14,0,True,0.0005
15,0.03541054596865527,0.032974082352674676,0.033066311792622954,14,1,False,0.0005
16,0.03483341010901448,0.0331193601237939,0.033066311792622954,14,2,False,0.0005
17,0.034731719323197276,0.03165813697062711,0.03165813697062711,17,0,True,0.0005
18,0.03419561763895083,0.032004030301373845,0.03165813697062711,17,1,False,0.0005
19,0.0337617106827995,0.03262230039181192,0.03165813697062711,17,2,False,0.0005
20,0.03336683770555535,0.03158122033854524,0.03165813697062711,17,3,False,0.0005
21,0.033406299795407206,0.030573325778157166,0.030573325778157166,21,0,True,0.0005
22,0.03303407436013144,0.029933180283077693,0.029933180283077693,22,0,True,0.0005
23,0.03271354791124734,0.030366417304771954,0.029933180283077693,22,1,False,0.0005
24,0.032689810174344865,0.02980683736852249,0.02980683736852249,24,0,True,0.0005
25,0.032346204511280986,0.03082925174941516,0.02980683736852249,24,1,False,0.0005
26,0.03223388530470181,0.030296643378414378,0.02980683736852249,24,2,False,0.0005
27,0.0322361766438517,0.02954992777121182,0.02954992777121182,27,0,True,0.0005
28,0.031922711660398395,0.02995359494951309,0.02954992777121182,27,1,False,0.0005
29,0.03205278896629526,0.029419965253463302,0.029419965253463302,29,0,True,0.0005
30,0.03177293135388842,0.029195708424200623,0.029195708424200623,30,0,True,0.0005
31,0.03199183263043142,0.030710427733986814,0.029195708424200623,30,1,False,0.0005
32,0.03131821241510703,0.03291042116188621,0.029195708424200623,30,2,False,0.0005
33,0.03129142751079772,0.028610152433052996,0.028610152433052996,33,0,True,0.0005
34,0.03148040036953498,0.02960669766230887,0.028610152433052996,33,1,False,0.0005
35,0.031219454383791288,0.0353030416585331,0.028610152433052996,33,2,False,0.0005
36,0.031415927215081484,0.02882210114882703,0.028610152433052996,33,3,False,0.0005
37,0.031368869908556064,0.02897170881794802,0.028610152433052996,33,4,False,0.0005
38,0.031110572617713373,0.02841437715101466,0.02841437715101466,38,0,True,0.0005
39,0.031089347350747153,0.02832628727166888,0.02841437715101466,38,1,False,0.0005
40,0.031089873038178353,0.031074310352992972,0.02841437715101466,38,2,False,0.0005
41,0.030780880360764686,0.02911804421214934,0.02841437715101466,38,3,False,0.0005
42,0.0308594192361342,0.032998041395912454,0.02841437715101466,38,4,False,0.0005
43,0.03066605574237881,0.0282391785543223,0.0282391785543223,43,0,True,0.0005
44,0.0307581115935776,0.028182802227669737,0.0282391785543223,43,1,False,0.0005
45,0.030623416211817942,0.028597057464287538,0.0282391785543223,43,2,False,0.0005
46,0.030597978402232003,0.02899943084717759,0.0282391785543223,43,3,False,0.0005
47,0.030580090733918514,0.02803978100337275,0.02803978100337275,47,0,True,0.0005
48,0.030393096440372552,0.028845439546074488,0.02803978100337275,47,1,False,0.0005
49,0.03042377885101834,0.029048207624842295,0.02803978100337275,47,2,False,0.0005
50,0.0304627484112508,0.02849619194292196,0.02803978100337275,47,3,False,0.0005
51,0.030525545498480897,0.02788018383536386,0.02788018383536386,51,0,True,0.0005
52,0.0305328122816118,0.028610087919313684,0.02788018383536386,51,1,False,0.0005
53,0.03020224174365139,0.0324761519551049,0.02788018383536386,51,2,False,0.0005
54,0.030369808770943876,0.02744698230327934,0.02744698230327934,54,0,True,0.0005
55,0.030202086996542726,0.02804752411148707,0.02744698230327934,54,1,False,0.0005
56,0.030332465753856497,0.02813792236629965,0.02744698230327934,54,2,False,0.0005
57,0.03020610890777831,0.03004840577757361,0.02744698230327934,54,3,False,0.0005
58,0.030120245174932593,0.02835108440763754,0.02744698230327934,54,4,False,0.0005
59,0.029998650965845065,0.027632735430635266,0.02744698230327934,54,5,False,0.0005
