threshold,accuracy,precision,recall,f1,roc_auc,average_precision,selected_metric
0.1,0.9826221573721485,0.9180659518511026,0.9995778189761192,0.957089503053737,0.9993222953703388,0.9972429732453502,0.957089503053737
0.15,0.9836969287163244,0.923208712172615,0.9990087923787148,0.9596142148090028,0.9993222953703388,0.9972429732453502,0.9596142148090028
0.2,0.9847040819958006,0.9287435279643205,0.9976504708236201,0.9619646017699115,0.9993222953703388,0.9972429732453502,0.9619646017699115
0.25,0.985864265632229,0.9351575827546396,0.9961636593916922,0.9646970989761092,0.9993222953703388,0.9972429732453502,0.9646970989761092
0.3,0.9869390369764048,0.9412265314274797,0.9947502707465262,0.9672485185978439,0.9993222953703388,0.9972429732453502,0.9672485185978439
0.35,0.9875653937862557,0.9451983025095615,0.9934653719781934,0.9687309826382674,0.9993222953703388,0.9972429732453502,0.9687309826382674
0.4,0.9880671910032386,0.9490882259934648,0.9916481580058372,0.9699015269162754,0.9993222953703388,0.9972429732453502,0.9699015269162754
0.45,0.9889426669988256,0.9589408233276158,0.9851502413774115,0.9718688601772796,0.9993222953703388,0.9972429732453502,0.9718688601772796
0.5,0.9888252250969786,0.9658795985408084,0.9768718221700105,0.9713446129697567,0.9993222953703388,0.9972429732453502,0.9713446129697567
0.55,0.9890174027545464,0.9718330548465874,0.9715119587363938,0.9716724802643657,0.9993222953703388,0.9972429732453502,0.9716724802643657
0.6,0.988277162888359,0.9772494172494173,0.9619302850639696,0.9695293421150004,0.9993222953703388,0.9972429732453502,0.9695293421150004
0.65,0.9866934766361792,0.9808020316112648,0.9499623708217846,0.9651359037717376,0.9993222953703388,0.9972429732453502,0.9651359037717376
0.7,0.9847396704509057,0.9834704375132448,0.9370399603516951,0.9596939446919708,0.9993222953703388,0.9972429732453502,0.9596939446919708
0.75,0.9831915726538311,0.987307059468777,0.9252005359863433,0.9552453781353346,0.9993222953703388,0.9972429732453502,0.9552453781353346
0.8,0.9811381187942632,0.9915638806149172,0.9104609115438976,0.9492832673058889,0.9993222953703388,0.9972429732453502,0.9492832673058889
0.85,0.9780988647282821,0.9948391324827459,0.8916646781328585,0.9404305571688543,0.9993222953703388,0.9972429732453502,0.9404305571688543
0.9,0.9738923093348518,0.9971736516842084,0.8678022724352503,0.9280007851604671,0.9993222953703388,0.9972429732453502,0.9280007851604671
