experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,hidden_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
MLP-04m-tune,medium,Validation,0.9829922773052422,0.9209010840108401,0.997999229060739,0.9579013204837956,0.9989798655702472,0.9957541872083762,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,43,38,0.05168475433492021,True,True,14,0.9579013204837956
MLP-04m-tune,medium,Validation,0.9863874159222749,0.9489806771848963,0.982617155234127,0.9655060465871277,0.9989715193607066,0.995738303839445,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,35,30,0.03080117767229594,True,True,15,0.9655060465871277
MLP-04m-tune,medium,Validation,0.982522509697854,0.9187335270662972,0.9981460746342627,0.9567948481089499,0.9989263357457666,0.9955231939398012,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,44,39,0.053252652816891,True,True,16,0.9567948481089499
MLP-04m-tune,medium,Validation,0.9865617993522902,0.9551027735391796,0.9765964867196535,0.9657300515501344,0.9990390519972597,0.9959971531157286,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,20,15,0.030633009628496598,True,True,17,0.9657300515501344
MLP-04m-tune,medium,Validation,0.9836221929606036,0.9241890765593374,0.9973384239798821,0.9593714134369207,0.9990006082830284,0.995786398396333,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,20,15,0.052441134313592416,True,True,18,0.9593714134369207
MLP-04m-tune,medium,Validation,0.987629453005445,0.9565170691537924,0.9807815855650801,0.9684973717600145,0.999099351543943,0.9962527738321184,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,31,26,0.029331513300849356,True,True,19,0.9684973717600145
MLP-04m-tune,medium,Validation,0.9836293106516246,0.9235001443393503,0.9982562088144056,0.9594241761343589,0.9992238705430109,0.9967355119827601,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,40,35,0.047696584489979675,True,True,20,0.9594241761343589
MLP-04m-tune,medium,Validation,0.9862059148012384,0.9532126032206638,0.9767983993832486,0.9648613856000581,0.9990434175641163,0.9960874374589843,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,27,22,0.02935270748147146,True,True,21,0.9648613856000581
MLP-04m-tune,medium,Validation,0.9827680700380796,0.9194936024204317,0.998549899961453,0.9573925133313388,0.9991564520060862,0.9964902691631667,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.1,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,35,30,0.04857159950762649,True,True,22,0.9573925133313388
MLP-04m-tune,medium,Validation,0.9888252250969786,0.9658795985408084,0.9768718221700105,0.9713446129697567,0.9993222953703388,0.9972429732453502,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,45,40,0.025312064837394836,True,True,23,0.9713446129697567
MLP-04m-tune,medium,Validation,0.9841773728602441,0.9259070092105487,0.998274564511096,0.960729932165065,0.9992957017696145,0.9970464835000484,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.1,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,43,38,0.045637618039480674,True,True,24,0.960729932165065
MLP-04m-tune,medium,Validation,0.9866400939535215,0.9513462530920221,0.9812771893757227,0.9660799479543155,0.9991008965080173,0.9962396187441719,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,30,25,0.030022760557073147,True,True,25,0.9660799479543155
MLP-04m-tune,medium,Validation,0.9834584860671198,0.9225759400281542,0.9984764771746911,0.9590267983074753,0.9991038788194704,0.9962480357077186,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,26,21,0.0516272651714718,True,True,26,0.9590267983074753
MLP-04m-tune,medium,Validation,0.9882664863518275,0.9596414972339967,0.9807265184750087,0.9700694475965684,0.9991878432206622,0.9965998314938592,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,45,40,0.028626913918824128,True,True,27,0.9700694475965684
MLP-04m-tune,medium,Validation,0.9843268443716858,0.9272246395358757,0.997448558160025,0.9610554985674366,0.9992538003423174,0.9968751473717227,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,43,38,0.04744335939438386,True,True,28,0.9610554985674366
MLP-04m-tune,medium,Validation,0.9873981280472615,0.9557802433786686,0.9803594045411994,0.9679138085702118,0.9991434192839657,0.9964367837475918,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.028238736704398106,True,True,29,0.9679138085702118
MLP-04m-tune,medium,Validation,0.9825545393074486,0.9187883293068203,0.9982562088144056,0.9568751649511744,0.9990044677353754,0.9958490983625031,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.2,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,32,27,0.051705478435956506,True,True,30,0.9568751649511744
MLP-04m-tune,medium,Validation,0.9874906580305349,0.9526110124333925,0.9844527249031737,0.9682701595067658,0.9991626992848907,0.996541914903055,0.5,True,standard,True,select_k_best,40,False,False,auto,,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,39,34,0.0280472391256929,True,True,31,0.9682701595067658
MLP-04m-tune,medium,Validation,0.9831026015160682,0.9214562958694216,0.9979074505772867,0.9581592907876416,0.9990141264147898,0.995902933773169,0.5,True,standard,True,select_k_best,40,False,True,auto,4.1578160687454275,"[256, 128, 64]",relu,0.2,0.0005,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,32,27,0.052005044604676524,True,True,32,0.9581592907876416
