epoch,train_loss,val_loss,best_val_loss,best_epoch,epochs_without_improvement,improved,learning_rate
1,0.11695282920972845,0.05595104770752207,0.05595104770752207,1,0,True,0.0005
2,0.053998581024576914,0.04594847501881237,0.04594847501881237,2,0,True,0.0005
3,0.04692249551031075,0.041173218090547616,0.041173218090547616,3,0,True,0.0005
4,0.04406329054266725,0.03990587129666057,0.03990587129666057,4,0,True,0.0005
5,0.04267376514165435,0.0393454292952238,0.0393454292952238,5,0,True,0.0005
6,0.04146186396801187,0.03760785362364885,0.03760785362364885,6,0,True,0.0005
7,0.04030769268696116,0.036894188095773085,0.036894188095773085,7,0,True,0.0005
8,0.03984491295136646,0.03669503725705344,0.03669503725705344,8,0,True,0.0005
9,0.03918398076707519,0.036252683082630535,0.036252683082630535,9,0,True,0.0005
10,0.03900795742803558,0.035360028064608584,0.035360028064608584,10,0,True,0.0005
11,0.038165996667639285,0.03552066694004196,0.035360028064608584,10,1,False,0.0005
12,0.03771950326147881,0.03598879555389357,0.035360028064608584,10,2,False,0.0005
13,0.03721580898164627,0.036151505939686586,0.035360028064608584,10,3,False,0.0005
14,0.03699817935628217,0.03346720906812727,0.03346720906812727,14,0,True,0.0005
15,0.036584235812030526,0.03332490277460998,0.03332490277460998,15,0,True,0.0005
16,0.03597066390438785,0.03314711526773392,0.03314711526773392,16,0,True,0.0005
17,0.03551852105174677,0.033827413810112325,0.03314711526773392,16,1,False,0.0005
18,0.03538846568890252,0.031926609343075237,0.031926609343075237,18,0,True,0.0005
19,0.03482670409274797,0.03381785510172241,0.031926609343075237,18,1,False,0.0005
20,0.03442879560398927,0.03405083622813252,0.031926609343075237,18,2,False,0.0005
21,0.033972033941688205,0.03033595929620514,0.03033595929620514,21,0,True,0.0005
22,0.03319414344939504,0.02975815640355237,0.02975815640355237,22,0,True,0.0005
23,0.03295417410627348,0.031805061631915175,0.02975815640355237,22,1,False,0.0005
24,0.03328721943983046,0.029226215625270422,0.029226215625270422,24,0,True,0.0005
25,0.031959440957972096,0.028930296866260537,0.028930296866260537,25,0,True,0.0005
26,0.03135220151355726,0.029413934842456302,0.028930296866260537,25,1,False,0.0005
27,0.03119492033276966,0.028628065133529428,0.028628065133529428,27,0,True,0.0005
28,0.03061442647735396,0.02677258544017265,0.02677258544017265,28,0,True,0.0005
29,0.030972296103779832,0.02778352227536216,0.02677258544017265,28,1,False,0.0005
30,0.030124178932251496,0.027706432290850656,0.02677258544017265,28,2,False,0.0005
31,0.02996483886139875,0.027282271079676377,0.02677258544017265,28,3,False,0.0005
32,0.02970497421393323,0.027392261345770066,0.02677258544017265,28,4,False,0.0005
33,0.030373665867200087,0.02633779440936249,0.02633779440936249,33,0,True,0.0005
34,0.029659768189044974,0.02640101877596163,0.02633779440936249,33,1,False,0.0005
35,0.029344425083133282,0.02748157562699726,0.02633779440936249,33,2,False,0.0005
36,0.029290698017861175,0.026511278438162006,0.02633779440936249,33,3,False,0.0005
37,0.02889347743288222,0.025466409516418216,0.025466409516418216,37,0,True,0.0005
38,0.029532677054506545,0.025961804371512107,0.025466409516418216,37,1,False,0.0005
39,0.02860789008738106,0.029327372869497822,0.025466409516418216,37,2,False,0.0005
40,0.02862077558294404,0.025312064837394836,0.025312064837394836,40,0,True,0.0005
41,0.02856601633340719,0.02601730133762092,0.025312064837394836,40,1,False,0.0005
42,0.028371060766960856,0.02587176988319545,0.025312064837394836,40,2,False,0.0005
43,0.028881391195105768,0.028399844581895064,0.025312064837394836,40,3,False,0.0005
44,0.0281822041187562,0.025496158889463383,0.025312064837394836,40,4,False,0.0005
45,0.02784278966837913,0.025268232132247166,0.025312064837394836,40,5,False,0.0005
