experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2
AE-07e,easy,Test,0.83404967732983,0.9552724567602753,0.10083629439133081,0.18241707507635485,0.8576023194753657,0.647466031755773,0.5,False,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,58,48,0.018513707003704933,f1,200,False,False
AE-08e,easy,Validation,0.8309070790878389,0.8190612115445607,0.10139578711792537,0.18045244126124552,0.896299292698049,0.6700884159934074,0.5,False,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,68,58,0.0370804683734967,f1,200,False,False
AE-08e,easy,Test,0.8308887531289365,0.8173562855337966,0.10160191601719704,0.18073719683609504,0.8962385947556588,0.6707912405173367,0.5,False,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,68,58,0.0370804683734967,f1,200,False,False
AE-09e,easy,Validation,0.8879838241707545,0.8923040455120101,0.44339307799524924,0.5924119027947174,0.8716363633638795,0.7076496145540583,0.5,True,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,81,71,0.06012782803310667,f1,200,False,False
AE-09e,easy,Test,0.8878917140174554,0.8927857100421808,0.4425194840888121,0.5917374897456932,0.8721054285028829,0.7079298474376418,0.5,True,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,81,71,0.06012782803310667,f1,200,False,False
AE-10e,easy,Validation,0.8846715275850511,0.8879285626510466,0.42554820471544397,0.5753530098736597,0.876084497168048,0.7041719537024654,0.5,True,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,82,72,0.05791948349685784,f1,200,False,False
AE-10e,easy,Test,0.8845902242021549,0.8878728856996412,0.4250770529456801,0.574910556046013,0.8763877431829903,0.7036031442577075,0.5,True,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,82,72,0.05791948349685784,f1,200,False,False
AE-11e,easy,Validation,0.8905968981910319,0.9432792109909988,0.4299652525569799,0.5906847541735214,0.8124680492215346,0.6563105949648045,0.5,True,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,32,22,0.02709041879214165,f1,200,False,False
AE-11e,easy,Test,0.8906291392518666,0.9449485783424078,0.42929778754981446,0.5903807993952566,0.8128422813891389,0.6563014925828611,0.5,True,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,32,22,0.02709041879214165,f1,200,False,False
AE-12e,easy,Validation,0.8900346367466688,0.9384846533590899,0.4291799996073735,0.5890023439394347,0.8200759791422934,0.6567609944803784,0.5,True,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,93,83,0.027430665157138018,f1,200,False,False
AE-12e,easy,Test,0.8899713642613728,0.9393254557585933,0.42837511533402695,0.5884089821287726,0.8206693986684819,0.6567654755877748,0.5,True,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,93,83,0.027430665157138018,f1,200,False,False
AE-13e,easy,Validation,0.8341544993530389,0.866825562341725,0.11423467284398987,0.2018663706376188,0.9092192176954098,0.7411036731713466,0.5,True,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,45,35,0.055349158792435266,f1,200,False,False
AE-13e,easy,Test,0.833943352057394,0.860882461994809,0.11395001864975755,0.20126036944254225,0.909834361758635,0.7421092149165401,0.5,True,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,45,35,0.055349158792435266,f1,200,False,False
AE-14e,easy,Validation,0.8425307531780386,0.8478740762069297,0.17342311392057166,0.28794941164966265,0.9055315660228243,0.7323057774373183,0.5,True,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,62,52,0.055842509551254416,f1,200,False,False
AE-14e,easy,Test,0.8426115649458191,0.8487697251666747,0.1736979524529339,0.2883799001034817,0.9060455622758836,0.7329367272657307,0.5,True,False,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,62,52,0.055842509551254416,f1,200,False,False
AE-15e,easy,Validation,0.8456592335223156,0.977751618599176,0.1630577749857673,0.2795033146010701,0.837251574495397,0.689129602676636,0.5,True,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,74,64,0.01842757151098674,f1,200,False,False
AE-15e,easy,Test,0.8458157401049917,0.9783131117753942,0.16383321227350361,0.2806648786352668,0.8375247819450954,0.6884852660532877,0.5,True,False,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,74,64,0.01842757151098674,f1,200,False,False
AE-16e,easy,Validation,0.8399248876378171,0.9292291502236254,0.13867567090048882,0.2413351326420799,0.8578323805221753,0.6872184859375572,0.5,True,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,49,39,0.028836007398459974,f1,200,False,False
AE-16e,easy,Test,0.839888556697501,0.9247718383311604,0.13924497928895346,0.24204473715640942,0.858091861535693,0.6857823303331071,0.5,True,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,49,39,0.028836007398459974,f1,200,False,False
AE-17e,easy,Validation,0.8837740718180868,0.8871582435791218,0.42042442921926226,0.5704924146565618,0.8885396128406484,0.7143998510961084,0.5,True,True,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.061145137557351355,f1,200,False,False
AE-17e,easy,Test,0.8836567243526323,0.888569584140272,0.41883429199630934,0.5693166732266393,0.8888377708070357,0.7142139318993652,0.5,True,True,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.061145137557351355,f1,200,False,False
AE-18e,easy,Validation,0.881661987161697,0.844482496194825,0.43567796776536644,0.5748067185537238,0.8646210589685985,0.6880923981669638,0.5,True,True,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,43,33,0.07454846263854924,f1,200,False,False
AE-18e,easy,Test,0.8816221271902556,0.8451400015259022,0.4349221618013703,0.5743004160564074,0.8649727044676847,0.6872953113964153,0.5,True,True,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,43,33,0.07454846263854924,f1,200,False,False
AE-19e,easy,Validation,0.8923377461245409,0.9493643887040355,0.4368951098372563,0.5984055067826461,0.8263233722319479,0.6650107784569845,0.5,True,True,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,47,37,0.024012781583846874,f1,200,False,False
AE-19e,easy,Test,0.8922564565571156,0.9500459765198982,0.43608040990203967,0.5977758491936949,0.8265653291360471,0.6645359837896799,0.5,True,True,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,47,37,0.024012781583846874,f1,200,False,False
AE-20e,easy,Validation,0.8885208559349218,0.9082636196694552,0.43693437248473666,0.590027039923652,0.8299685943246132,0.671801672959241,0.5,True,True,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,47,37,0.03524923341623355,f1,200,False,False
AE-20e,easy,Test,0.8886864503758328,0.9104920582937612,0.43663008696676414,0.5902185306566534,0.8302764895052688,0.6720306907522416,0.5,True,True,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,47,37,0.03524923341623355,f1,200,False,False
AE-21e,easy,Validation,0.8388868665097621,0.910827186512118,0.13575060366320502,0.2362850455314278,0.9203967379090277,0.7884224133623107,0.5,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,74,64,0.051260437203788686,f1,200,False,False
AE-21e,easy,Test,0.8389280249990538,0.9115032593665635,0.13587820726751604,0.23650108913851278,0.9211737114579013,0.7902678574048391,0.5,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,74,64,0.051260437203788686,f1,200,False,False
AE-22e,easy,Validation,0.8876450256081254,0.9265061280856206,0.4214648893774907,0.5793741819702878,0.8997864447693922,0.7432015486016667,0.5,True,True,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,61,51,0.05542358256044416,f1,200,False,False
AE-22e,easy,Test,0.8878502651824379,0.9302613300920298,0.4206894520897544,0.5793714092598851,0.9004775479174955,0.7468717430537027,0.5,True,True,True,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,61,51,0.05542358256044416,f1,200,False,False
AE-23e,easy,Validation,0.8519017772507578,0.9697605647238386,0.19957203714246452,0.3310214581094722,0.8435293690444572,0.6797358166422851,0.5,True,True,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,75,65,0.018828582079267867,f1,200,False,False
AE-23e,easy,Test,0.8519970228923718,0.9694794390301877,0.20017079251653938,0.331828203688788,0.843564857221728,0.679630002095295,0.5,True,True,True,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,75,65,0.018828582079267867,f1,200,False,False
AE-24e,easy,Validation,0.8399753469982086,0.9253381893860562,0.1396572370874968,0.2426868166544425,0.8907724364959646,0.745611975026238,0.5,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,60,50,0.031556302479341256,f1,200,False,False
AE-24e,easy,Test,0.8401210305982508,0.9274439753166612,0.1401480201810008,0.24350020891424284,0.8910726808449174,0.7456809950751984,0.5,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,60,50,0.031556302479341256,f1,200,False,False
AE-13e-tune,easy,Validation,0.9357039621410628,0.8709431594046979,0.7628339778951295,0.8133117053006123,0.9284439052216108,0.840445615679487,0.08117952167838054,True,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,51,41,0.014666611447200382,f1,200,True,True
AE-21e-tune,easy,Validation,0.9276592983986361,0.7991085271317829,0.8094780031017491,0.8042598425964755,0.9328057956492657,0.8422620518337796,0.056787677109241486,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,43,33,0.024678174652195527,f1,200,True,True
AE-24e-tune,easy,Validation,0.9276016305581887,0.9255448275862069,0.6586505428061015,0.7696154331395015,0.9215584613932616,0.8388715310711069,0.09242740677828691,True,True,True,auto,True,standard,True,select_k_best,40,True,0.95,"[128, 64]",8,relu,none,True,0.0,mse,0.0005,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,53,43,0.006051218916964057,f1,200,True,True
AE-21e-final,easy,Validation,0.9256156943027778,0.7859610048885449,0.8174679518639942,0.8014049268668206,0.9388907858416398,0.8490231822226529,0.03045770748700936,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,True,0.5,5,1e-06,False,0.02,0.0001,auto,True,10,0.0001,84,74,0.011553216731409844,f1,200,True,True
AE-21e-final,easy,Test,0.9259615679193225,0.7865532909745658,0.8189795637919864,0.8024389774760046,0.9392350542800949,0.8498206153137929,0.03045770748700936,True,True,True,auto,True,standard,False,select_k_best,40,False,0.95,"[128, 64, 32]",8,relu,none,True,0.0,mse,0.001,4096,200,True,0.5,5,1e-06,False,0.02,0.0001,auto,True,10,0.0001,84,74,0.011553216731409844,f1,200,True,True
