experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,conv_channels,kernel_size,fc_layers,activation,batch_norm,dropout,learning_rate,batch_size,epochs,gradient_clip_norm,global_pooling,input_dropout,input_noise_std,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2
CNN-14e,easy,Validation,0.9673852319869094,0.8915099629892707,0.9362963544631815,0.9133544624989228,0.9950023637669645,0.979302013067304,0.5,True,standard,False,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,31,26,0.07759864506205914,False,False
CNN-15e,easy,Validation,0.9508669999387279,0.8265497260297954,0.9268929503916449,0.873850197109067,0.9891681209387525,0.9531501875228278,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,18,13,0.10409215640162582,False,False
CNN-16e,easy,Validation,0.9711768924963327,0.9005933057203627,0.9476039969375135,0.9235007700622746,0.9956079939004033,0.980311366509676,0.5,True,standard,False,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,42,37,0.06942797856528454,False,False
CNN-17e,easy,Validation,0.9708921575341232,0.870409097979571,0.9886530948781876,0.9257706943142338,0.9958646596001056,0.9819973754416277,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,32,27,0.06941868811264129,False,False
CNN-18e,easy,Validation,0.9712129348966124,0.8707616877287481,0.99016470680618,0.926632556515988,0.9959141669156567,0.9815350496485492,0.5,True,standard,True,False,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,22,17,0.07284457570692915,False,False
CNN-19e,easy,Validation,0.9655867162129529,0.8450917943672775,0.9949351184750388,0.9139121810476963,0.9935357035853463,0.9705371355910921,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,36,31,0.08146769267364093,False,False
CNN-20e,easy,Validation,0.9581763987154489,0.8174174077242136,0.9942872847916135,0.8972187776793623,0.9946827358605752,0.9751868668328774,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,33,28,0.08330359043625259,False,False
CNN-21e,easy,Validation,0.9767959026999362,0.8967423283347895,0.9872985335401167,0.9398441441946516,0.9963530903529435,0.9836310401008215,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,53,48,0.06185849186127039,False,False
CNN-22e,easy,Validation,0.9708092600134799,0.8653669020571078,0.9959559473095271,0.9260804088897002,0.9972897297106044,0.9881399950363429,0.5,True,standard,True,True,False,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,33,28,0.06524466346970163,False,False
CNN-23e,easy,Validation,0.9673023344662661,0.8534810286891474,0.9922456271226369,0.9176470588235294,0.995575413609506,0.979695242691913,0.5,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,57,52,0.06774836096621703,False,False
CNN-24e,easy,Validation,0.9659939953361134,0.8826946483236824,0.9396533108227488,0.9102838396805021,0.9939761937619447,0.9729661546898777,0.5,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[16, 32]",3,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,32,27,0.07651544525166112,False,False
CNN-08e-tune,easy,Test,0.9809407443850344,0.9101838374036336,0.9943069161153537,0.9503874805321525,0.9977701437746522,0.9899073344836651,0.55,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[64, 128]",7,[64],relu,,0.0,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,20,15,0.042908983382280816,True,True
CNN-11e-tune,easy,Test,0.9803676691878371,0.9175569996695672,0.9812324545044072,0.9483270564351646,0.9978042465386647,0.9902157111645489,0.7,True,standard,True,True,True,select_k_best,40,False,False,auto,,"[64, 128]",7,[64],relu,,0.2,0.001,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,30,25,0.04411279794228134,True,True
CNN-20e-tune,easy,Validation,0.9816760436978061,0.9169773574611257,0.9898113429788571,0.9520033231373437,0.9978550321345023,0.9903361153021464,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[32, 64]",7,[64],relu,,0.0,0.0005,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,33,28,0.04313752523731315,True,True
CNN-20e-tune,easy,Test,0.9814165049261039,0.9158008500744723,0.9897818959932468,0.9513552781787477,0.9977689886187397,0.9898929459986314,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,"[32, 64]",7,[64],relu,,0.0,0.0005,4096,200,,True,0.0,0.0,False,0.5,2,1e-06,0.0001,auto,True,5,0.0001,33,28,0.04313752523731315,True,True
