experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,reconstruction_threshold,use_network_features,drop_original_port_columns,log_transform,log_transform_columns,scaling,scaler,feature_selection,feature_selection_method,selected_k_features,remove_correlated_features,correlation_threshold,encoder_layers,latent_dim,activation,output_activation,batch_norm,dropout,loss_function,learning_rate,batch_size,epochs,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,denoising,noise_std,weight_decay,device,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,threshold_metric,threshold_candidates,tuning_stage_1,tuning_stage_2
AE-08m,medium,Test,0.8237873233922915,0.8987870511687686,0.10269188762539351,0.18432367428298438,0.876306725224454,0.6562811955159589,0.5,False,False,True,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,80,70,0.034110590703215225,f1,200,False,False
AE-09m,medium,Validation,0.8765329727036549,0.8712473731612128,0.4261642100625929,0.5723618524042551,0.8812029977454702,0.7172377527597326,0.5,True,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,96,86,0.1402471010295219,f1,200,False,False
AE-09m,medium,Test,0.8769137691732802,0.8715793406182871,0.42824233413181345,0.5743051965635231,0.882051377631893,0.7196822061226144,0.5,True,False,False,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,96,86,0.1402471010295219,f1,200,False,False
AE-10m,medium,Validation,0.8759422043489092,0.851109520400859,0.43649846729932634,0.5770514080491149,0.8710884661259389,0.6988852096910524,0.5,True,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,30,20,0.38284949243679056,f1,200,False,False
AE-10m,medium,Test,0.87622335314424,0.8505008807672462,0.43869599933918885,0.578827546955037,0.8719725171930781,0.7010708932259947,0.5,True,False,False,auto,True,standard,False,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,30,20,0.38284949243679056,f1,200,False,False
AE-11m,medium,Validation,0.8830278657603473,0.9507738517375162,0.4183446832724536,0.5810325047801147,0.8269341925155507,0.6743196396298122,0.5,True,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,40,30,0.026435733032343936,f1,200,False,False
AE-11m,medium,Test,0.8834068828072174,0.950522778192681,0.42052369283295243,0.5830835894401283,0.8272584733979208,0.675380149649393,0.5,True,False,False,auto,True,standard,True,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,40,30,0.026435733032343936,f1,200,False,False
AE-12m,medium,Validation,0.8834833979856934,0.9352500700756817,0.42871565190256794,0.5879273020188289,0.8103057657410389,0.663743603910185,0.5,True,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,60,50,0.03292855442476117,f1,200,False,False
AE-12m,medium,Test,0.8834745008719171,0.9332815054020651,0.42970162541185974,0.5884630128894001,0.8109429738982847,0.6645774944736581,0.5,True,False,False,auto,True,standard,True,select_k_best,40,True,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,60,50,0.03292855442476117,f1,200,False,False
AE-13m,medium,Validation,0.8540908929143386,0.9103250943625959,0.27447273261256633,0.42177561525985474,0.9155974434311808,0.7675846411845002,0.5,True,False,True,auto,True,standard,False,select_k_best,40,False,0.95,"[64, 32]",16,relu,none,False,0.1,mse,0.001,4096,200,False,0.5,5,1e-06,False,0.05,0.0001,auto,True,10,0.0001,52,42,0.2627523119364852,f1,200,False,False
