decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
0.55,0.99884664319105,0.9968980072641602,0.9968197255540941,0.9968588648722932,0.9995140053957061,0.9985558139152962
0.6,0.998835830470966,0.99715161277649,0.9965056243742516,0.996828513918209,0.9995140053957061,0.9985558139152962
0.5,0.9988250177508822,0.996332398454508,0.9972712460001177,0.9968016011616271,0.9995140053957061,0.9985558139152962
0.45,0.9988214135108542,0.9961960784313726,0.9973890339425587,0.996792199256418,0.9995140053957061,0.9985558139152962
0.65,0.9988178092708262,0.9974445165221836,0.9961129978994484,0.9967783125429722,0.9995140053957061,0.9985558139152962
0.7,0.9988106007907702,0.9975226597982737,0.9959952099570074,0.9967583497053045,0.9995140053957061,0.9985558139152962
0.75,0.9987853711105745,0.9977376455775889,0.9956418461296845,0.9966886441127629,0.9995140053957061,0.9985558139152962
0.4,0.9987817668705465,0.9954567707823362,0.9979190796835431,0.9966864044547272,0.9995140053957061,0.9985558139152962
0.3,0.9987601414303787,0.9951459161104695,0.9981153929209446,0.9966284426149172,0.9995140053957061,0.9985558139152962
0.35,0.9987601414303787,0.9951846849492043,0.9980761302734643,0.9966283104306746,0.9995140053957061,0.9985558139152962
