epoch,train_loss,val_loss,best_val_loss,best_epoch,epochs_without_improvement,improved,learning_rate
1,0.16774583191120426,0.04052267944401128,0.04052267944401128,1,0,True,0.0005
2,0.03082820846148259,0.023183901217483677,0.023183901217483677,2,0,True,0.0005
3,0.021029826597851776,0.018075209431589592,0.018075209431589592,3,0,True,0.0005
4,0.016859702605677537,0.014087777472988562,0.014087777472988562,4,0,True,0.0005
5,0.014284059173235553,0.012350697087509667,0.012350697087509667,5,0,True,0.0005
6,0.012719060136575871,0.011016620540442223,0.011016620540442223,6,0,True,0.0005
7,0.011450566081869333,0.010511665492313764,0.010511665492313764,7,0,True,0.0005
8,0.010561559969272315,0.009212715856510524,0.009212715856510524,8,0,True,0.0005
9,0.009752068268940458,0.009286631159229139,0.009212715856510524,8,1,False,0.0005
10,0.009151163931486858,0.00886732964847254,0.00886732964847254,10,0,True,0.0005
11,0.00870869808701027,0.007670483407768828,0.007670483407768828,11,0,True,0.0005
12,0.00824865860584141,0.007280223964657806,0.007280223964657806,12,0,True,0.0005
13,0.007781983977428675,0.006720029730517204,0.006720029730517204,13,0,True,0.0005
14,0.007408498507032821,0.006880312814422718,0.006720029730517204,13,1,False,0.0005
15,0.0071690933548124065,0.006332983892694957,0.006332983892694957,15,0,True,0.0005
16,0.006908132518727073,0.006064219226721658,0.006064219226721658,16,0,True,0.0005
17,0.006647986683908487,0.0070853759224087315,0.006064219226721658,16,1,False,0.0005
18,0.006298570303003258,0.005945439211616407,0.005945439211616407,18,0,True,0.0005
19,0.006127819448853671,0.006009769517261362,0.005945439211616407,18,1,False,0.0005
20,0.0060386339401740565,0.0054212922380469175,0.0054212922380469175,20,0,True,0.0005
21,0.005765819465843547,0.005240384641196808,0.005240384641196808,21,0,True,0.0005
22,0.005615733874128615,0.005514180496464693,0.005240384641196808,21,1,False,0.0005
23,0.005403656271593481,0.0055499739704027995,0.005240384641196808,21,2,False,0.0005
24,0.005328833634755599,0.0054484160116275064,0.005240384641196808,21,3,False,0.0005
25,0.005202550863821371,0.0047828904838662116,0.0047828904838662116,25,0,True,0.0005
26,0.00509421866277845,0.005235563428319312,0.0047828904838662116,25,1,False,0.0005
27,0.004981702226495599,0.004080018059116753,0.004080018059116753,27,0,True,0.0005
28,0.004807736807361526,0.005201045827597717,0.004080018059116753,27,1,False,0.0005
29,0.004833177204578021,0.003990889312082821,0.004080018059116753,27,2,False,0.0005
30,0.0045396234870219805,0.003866154925414966,0.003866154925414966,30,0,True,0.0005
31,0.004502995235154627,0.0037848466030498975,0.003866154925414966,30,1,False,0.0005
32,0.004402428988128008,0.004063366515326286,0.003866154925414966,30,2,False,0.0005
