criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
entropy,20,2,1,,,0.0,0.5,0.9983049522401638,0.9962611708918475,0.9950452665901598,0.9956528475215762,0.999467859503944,0.9983247703070791
entropy,20,50,1,,,0.0,0.5,0.9982018990220605,0.9960600477901611,0.9947173798203909,0.9953882610280714,0.999631460904336,0.9988987340079303
gini,20,50,1,,,0.0,0.5,0.9981450420741415,0.9966388396689988,0.9938430151010074,0.995238963881795,0.999556009836845,0.9991494840896857
gini,20,2,1,,,0.0,0.5,0.9981272742779168,0.9965841005406986,0.9938065832376997,0.9951934039273629,0.9990605941728221,0.9981257000419999
entropy,20,2,20,,,0.0,0.5,0.998109506481692,0.9958590999470986,0.9944441408455835,0.9951511174304568,0.9997291768309897,0.9991685403636662
entropy,20,50,20,,,0.0,0.5,0.9980952922447123,0.9957321855222602,0.994498788640545,0.9951151048976542,0.999735408226728,0.9991614742916172
gini,20,50,20,,,0.0,0.5,0.9979424891971799,0.9960547945205479,0.9933876168096617,0.9947194177679279,0.9996361102850401,0.9992216473116261
gini,20,2,20,,,0.0,0.5,0.997938935637935,0.9959822488448965,0.9934422646046231,0.9947106352709432,0.9996179982153431,0.9991891494305112
entropy,15,2,1,,,0.0,0.5,0.9979069536047305,0.9955109489051095,0.9937519354427382,0.9946306644666673,0.9997582591841815,0.9991786967694671
entropy,15,50,1,,,0.0,0.5,0.9978465430975665,0.9954010402408979,0.9935515601945462,0.9944754403238157,0.9997687555949843,0.9993351483723136
entropy,15,50,20,,,0.0,0.5,0.9977221685239936,0.9950545640351838,0.993260105288085,0.9941565249099776,0.9997932824976044,0.9993672096948474
entropy,15,2,20,,,0.0,0.5,0.9977186149647487,0.995036405773828,0.993260105288085,0.9941474620770129,0.9997844531455984,0.9993540461790478
gini,20,2,1,,balanced,0.0,0.5,0.9972246702297021,0.9868998776362197,0.9990345556223473,0.9929301432981198,0.9997060148506031,0.9990560408776449
entropy,20,2,1,,balanced,0.0,0.5,0.9971571526040482,0.9867026540710752,0.9988888281691167,0.9927583460062278,0.9995651558813686,0.9988258547916302
gini,20,50,1,,balanced,0.0,0.5,0.9970576529451899,0.9860309584164824,0.9990709874856549,0.9925081433224756,0.9997607336158912,0.9993384298028749
entropy,15,2,1,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,15,2,20,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,15,50,1,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,15,50,20,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,20,2,1,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,20,2,20,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,20,50,1,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,20,50,20,,,0.0001,0.5,0.9970469922674551,0.9940421799042363,0.9908009545148186,0.9924189207681431,0.9998293743064909,0.9993777775251775
entropy,20,50,1,,balanced,0.0,0.5,0.9969794746418013,0.9855887585128749,0.9991256352806164,0.992311032311756,0.9997335174405099,0.9992566252253932
gini,15,2,1,,,0.0,0.5,0.9969688139640664,0.995834709530625,0.988596826784706,0.9922025686731569,0.9992966670128564,0.9982254874879646
gini,15,50,1,,,0.0,0.5,0.9969474926085967,0.9957614678899083,0.9885603949213982,0.9921478651151311,0.9993855150262896,0.9983525837777518
