decision_threshold,accuracy,precision,recall,f1,roc_auc,average_precision
0.5,0.9983049522401638,0.9962611708918475,0.9950452665901598,0.9956528475215762,0.999467859503944,0.9983247703070791
0.45,0.9982942915624289,0.996080004375809,0.9951727781117365,0.995626184575011,0.999467859503944,0.9983247703070791
0.4,0.9982836308846941,0.995736306985897,0.9954642330181978,0.9956002514142049,0.999467859503944,0.9983247703070791
0.55,0.9982836308846941,0.9972221206915457,0.9939705266225841,0.9955936687497149,0.999467859503944,0.9983247703070791
0.6,0.9982765237662042,0.9972401944657674,0.9939158788276227,0.9955752616069555,0.999467859503944,0.9983247703070791
0.35,0.9982623095292245,0.9953567136457991,0.9957374719930051,0.9955470564130583,0.999467859503944,0.9983247703070791
0.3,0.9982445417329998,0.9952120009466766,0.9957921197879666,0.9955019758527125,0.999467859503944,0.9983247703070791
0.65,0.9982267739367751,0.9973122211658012,0.9935879920578538,0.9954466232924838,0.999467859503944,0.9983247703070791
0.7,0.9982161132590402,0.9974394147233654,0.9934058327413156,0.9954185375825941,0.999467859503944,0.9983247703070791
0.75,0.9980597566522629,0.9978747961819614,0.9921671493888555,0.9950127877237852,0.999467859503944,0.9983247703070791
