experiment,dataset_variant,split,accuracy,precision,recall,f1,roc_auc,average_precision,threshold,scaling,scaler,use_network_features,drop_original_port_columns,feature_selection,feature_selection_method,selected_k_features,smote,use_pos_weight,pos_weight_mode,pos_weight_value,input_noise_std,input_dropout,global_pooling,gradient_clip_norm,conv_channels,kernel_size,fc_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,device,scheduler_enabled,scheduler_factor,scheduler_patience,scheduler_min_lr,early_stopping,patience,min_delta,actual_epochs,best_epoch,best_val_loss,tuning_stage_1,tuning_stage_2,trial,selected_metric
CNN-20m-final,medium,Validation,0.9798676109470088,0.9518881895594224,0.9438682795205492,0.9478612706107891,0.9979617610279895,0.9915755676836914,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[16, 32]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,15,10,0.04850103350164581,True,True,1,0.9478612706107891
CNN-20m-final,medium,Validation,0.9833588383928253,0.953868586530575,0.9606270305989464,0.9572358794263974,0.9985569418047864,0.99412604846183,0.5,True,standard,True,False,True,select_k_best,40,False,False,auto,,0.0,0.0,True,,"[16, 32]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,True,0.5,2,1e-06,True,5,0.0001,34,29,0.03847269883574958,True,True,2,0.9572358794263974
CNN-20m-final,medium,Validation,0.977629097120894,0.8990213449469274,0.9965491290221921,0.9452763171640491,0.9982402239669905,0.992664459178141,0.5,True,standard,True,False,True,select_k_best,40,False,True,auto,4.1578160687454275,0.0,0.0,True,,"[16, 32]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,False,0.5,2,1e-06,True,5,0.0001,18,13,0.07494549686790823,True,True,3,0.9452763171640491
CNN-20m-final,medium,Validation,0.9775792732837467,0.9006303114969483,0.9940343985755979,0.9450300153566942,0.9981433989655608,0.9922261275951951,0.5,True,standard,True,False,True,select_k_best,40,False,True,auto,4.1578160687454275,0.0,0.0,True,,"[16, 32]",7,[64],relu,0.0,0.001,4096,200,0.0001,auto,True,0.5,2,1e-06,True,5,0.0001,16,11,0.07802034317100127,True,True,4,0.9450300153566942
