threshold,accuracy,precision,recall,f1,roc_auc,average_precision,selected_metric
0.1,0.9756930851631731,0.8899327321232754,0.9980726518475008,0.9409057086988873,0.9985569418047864,0.99412604846183,0.9409057086988873
0.15,0.9776967151855938,0.8992249345831539,0.9966592632023349,0.9454383994567347,0.9985569418047864,0.99412604846183,0.9454383994567347
0.2,0.9785615146446492,0.9035697033298352,0.99568641127774,0.9473941595640631,0.9985569418047864,0.99412604846183,0.9473941595640631
0.25,0.9795188440869782,0.9086761054821177,0.9942913783292645,0.9495578091172836,0.9985569418047864,0.99412604846183,0.9495578091172836
0.3,0.9807359692515748,0.9152926837525815,0.9924925200535987,0.9523306297499846,0.9985569418047864,0.99412604846183,0.9523306297499846
0.35,0.9818605644328979,0.9245503628047732,0.9869858110464582,0.9547484396779033,0.9985569418047864,0.99412604846183,0.9547484396779033
0.4,0.9827965408021638,0.9341799163911774,0.9803410488445089,0.9567039856695029,0.9985569418047864,0.99412604846183,0.9567039856695029
0.45,0.9835866045054984,0.9442177840332092,0.9728152132014171,0.9583031968754521,0.9985569418047864,0.99412604846183,0.9583031968754521
0.5,0.9833588383928253,0.953868586530575,0.9606270305989464,0.9572358794263974,0.9985569418047864,0.99412604846183,0.9572358794263974
0.55,0.9832342787999573,0.9581338832020031,0.9552671671653298,0.956698377682798,0.9985569418047864,0.99412604846183,0.956698377682798
0.6,0.9822983024306915,0.961757298759444,0.9463279428770719,0.9539802375929832,0.9985569418047864,0.99412604846183,0.9539802375929832
0.65,0.9809423822911847,0.9698163733741393,0.9306705336001028,0.9498402944950777,0.9985569418047864,0.99412604846183,0.9498402944950777
0.7,0.9784262785152497,0.9783626771000059,0.908827254538446,0.9423139143177969,0.9985569418047864,0.99412604846183,0.9423139143177969
0.75,0.9748816683867754,0.9854431545973834,0.8834963931056004,0.9316892820502893,0.9985569418047864,0.99412604846183,0.9316892820502893
0.8,0.9705541122459874,0.991260339804793,0.8556691569228511,0.918487577089039,0.9985569418047864,0.99412604846183,0.918487577089039
0.85,0.965692729278622,0.9951412354513129,0.8270893371757925,0.9033661460734979,0.9985569418047864,0.99412604846183,0.9033661460734979
0.9,0.9603117548667213,0.9976111174916734,0.7972062629637108,0.8862203358703858,0.9985569418047864,0.99412604846183,0.8862203358703858
