epoch,train_loss,val_loss,best_val_loss,best_epoch,epochs_without_improvement,improved,learning_rate
1,0.21567238736770905,0.0977080582837171,0.0977080582837171,1,0,True,0.001
2,0.08807215842539175,0.061818446934027396,0.061818446934027396,2,0,True,0.001
3,0.06631079933235919,0.05179256171160704,0.05179256171160704,3,0,True,0.001
4,0.05607341269991709,0.10147725859576803,0.05179256171160704,3,1,False,0.001
5,0.048291589196535666,0.04524463378621872,0.04524463378621872,5,0,True,0.001
6,0.05169458684916965,0.03908819655843114,0.03908819655843114,6,0,True,0.001
7,0.043211792179368866,0.03694048935139997,0.03694048935139997,7,0,True,0.001
8,0.04033443874610916,0.08228287169142864,0.03694048935139997,7,1,False,0.001
9,0.038310478192250905,0.06336325590634986,0.03694048935139997,7,2,False,0.001
10,0.03722463091196097,0.056588608756037245,0.03694048935139997,7,3,False,0.001
11,0.03581989375240352,0.04480927459226706,0.03694048935139997,7,4,False,0.001
12,0.03976862971296783,0.1624788658728562,0.03694048935139997,7,5,False,0.001
13,0.03609041029645277,0.03508599353191744,0.03508599353191744,13,0,True,0.001
14,0.03340567178287017,0.041168974699991825,0.03508599353191744,13,1,False,0.001
15,0.03711995770711425,0.04896015917176184,0.03508599353191744,13,2,False,0.001
16,0.03200865371766493,0.03074899454259486,0.03074899454259486,16,0,True,0.001
17,0.035488606723525,0.04221237141107712,0.03074899454259486,16,1,False,0.001
18,0.035968483745327656,0.034674484507191475,0.03074899454259486,16,2,False,0.001
19,0.030740004533661595,0.028260469125020515,0.028260469125020515,19,0,True,0.001
20,0.030475999509608775,0.04954416237942816,0.028260469125020515,19,1,False,0.001
21,0.03224052749285527,0.033133412751122415,0.028260469125020515,19,2,False,0.001
22,0.03001969218688913,0.028419437517392995,0.028260469125020515,19,3,False,0.001
23,0.029234695792724728,0.02622339915806012,0.02622339915806012,23,0,True,0.001
24,0.031785456529003185,0.041168237651556264,0.02622339915806012,23,1,False,0.001
25,0.032053133776200886,0.02499410475973226,0.02499410475973226,25,0,True,0.001
26,0.029129702801824635,0.031018799123486287,0.02499410475973226,25,1,False,0.001
27,0.028434288033617482,0.029344213059956326,0.02499410475973226,25,2,False,0.001
28,0.034275909649201616,0.058282972241428775,0.02499410475973226,25,3,False,0.001
29,0.0294632504040999,0.024779396581737775,0.024779396581737775,29,0,True,0.001
30,0.028611305656119662,0.037413023862988545,0.024779396581737775,29,1,False,0.001
31,0.028976856563549272,0.03238263071591701,0.024779396581737775,29,2,False,0.001
32,0.028119204424429643,0.06665264027345942,0.024779396581737775,29,3,False,0.001
33,0.02857473819685599,0.024678174652195527,0.024678174652195527,33,0,True,0.001
34,0.030697618839643094,0.1228469119092717,0.024678174652195527,33,1,False,0.001
35,0.03079498484287514,0.027076473740438874,0.024678174652195527,33,2,False,0.001
36,0.026196583951045953,0.0270039169128334,0.024678174652195527,33,3,False,0.001
37,0.028426849639940247,0.04147212243282179,0.024678174652195527,33,4,False,0.001
38,0.02689574683582571,0.025182393269976913,0.024678174652195527,33,5,False,0.001
39,0.027404613472995214,0.025045506153241227,0.024678174652195527,33,6,False,0.0005
40,0.024318259115588953,0.022684810093168594,0.022684810093168594,40,0,True,0.0005
41,0.02375793761858016,0.021970054245245837,0.021970054245245837,41,0,True,0.0005
42,0.023712213544595635,0.025308572153360895,0.021970054245245837,41,1,False,0.0005
43,0.023383014261420684,0.02593010560321721,0.021970054245245837,41,2,False,0.0005
44,0.024742362970221504,0.021162384940144087,0.021162384940144087,44,0,True,0.0005
45,0.024021900097810748,0.02311596793316722,0.021162384940144087,44,1,False,0.0005
46,0.023434167817162458,0.02103050326483919,0.02103050326483919,46,0,True,0.0005
47,0.023247123167251384,0.024551917468377565,0.02103050326483919,46,1,False,0.0005
48,0.024274733220461513,0.022142258871925887,0.02103050326483919,46,2,False,0.0005
49,0.023475646475594695,0.020962413871631752,0.02103050326483919,46,3,False,0.0005
50,0.023053444994086607,0.0205479189795635,0.0205479189795635,50,0,True,0.0005
51,0.02381441182845972,0.02052355905973853,0.0205479189795635,50,1,False,0.0005
52,0.023256752790530976,0.025200761281527005,0.0205479189795635,50,2,False,0.0005
53,0.024204204576200955,0.021761150566346987,0.0205479189795635,50,3,False,0.0005
54,0.026888334222327944,0.3177558078121468,0.0205479189795635,50,4,False,0.0005
55,0.02710724616384405,0.02166641990765282,0.0205479189795635,50,5,False,0.0005
