threshold,accuracy,precision,recall,f1,roc_auc,average_precision,selected_metric
0.1,0.9717492040027291,0.8767756536813214,0.9950270506585059,0.9321660779194184,0.9982024796879856,0.9928762180445141,0.9321660779194184
0.15,0.9750149249488288,0.8914714734362732,0.9927864910650855,0.9394051692191014,0.9982024796879856,0.9928762180445141,0.9394051692191014
0.2,0.9761698317034342,0.8980819111500272,0.9902180447018962,0.9419021710879698,0.9982024796879856,0.9928762180445141,0.9419021710879698
0.25,0.9770404537184444,0.9026803232350105,0.9889247135544748,0.9438364380775215,0.9982024796879856,0.9928762180445141,0.9438364380775215
0.3,0.978184699795315,0.9090710785958789,0.9868845292092464,0.9463810014586045,0.9982024796879856,0.9928762180445141,0.9463810014586045
0.35,0.9792614282465317,0.9163145121599375,0.9835145818532889,0.9487260586891583,0.9982024796879856,0.9928762180445141,0.9487260586891583
0.4,0.9806828519445077,0.9257786271370281,0.9795070768894475,0.9518852894317579,0.9982024796879856,0.9928762180445141,0.9518852894317579
0.45,0.9817347054810098,0.9353269523526221,0.9736961946918775,0.9541259839708691,0.9982024796879856,0.9928762180445141,0.9541259839708691
0.5,0.9824347566522629,0.9440987162618684,0.9672295389547698,0.9555241634349778,0.9982024796879856,0.9928762180445141,0.9555241634349778
0.55,0.9820651864907892,0.9514744239965223,0.9568646738437437,0.9541619363334999,0.9982024796879856,0.9928762180445141,0.9541619363334999
0.6,0.9814184387082101,0.9579721904621399,0.9462630016212179,0.9520815959971775,0.9982024796879856,0.9928762180445141,0.9520815959971775
0.65,0.9809387082101433,0.9635924601763286,0.9377197296755743,0.950480059084195,0.9982024796879856,0.9928762180445141,0.950480059084195
0.7,0.979893961792131,0.9691662696522153,0.9264076361185493,0.9473046976865477,0.9982024796879856,0.9928762180445141,0.9473046976865477
0.75,0.9773780418467136,0.9793374553068763,0.903091243601654,0.9396702047005308,0.9982024796879856,0.9928762180445141,0.9396702047005308
0.8,0.9729645212644985,0.9856230360040256,0.8741643441353808,0.9265537813990308,0.9982024796879856,0.9928762180445141,0.9265537813990308
0.85,0.9675062542642711,0.9909436229800201,0.8411206441153433,0.9099060042958205,0.9982024796879856,0.9928762180445141,0.9099060042958205
0.9,0.9608042415283148,0.9950569913102358,0.8030675628905041,0.8888127255498881,0.9982024796879856,0.9928762180445141,0.8888127255498881
